name,url,description,found_by
Just-Understanding-Data-Ltd/ai-coding-with-cursor,https://github.com/Just-Understanding-Data-Ltd/ai-coding-with-cursor,A Github repository for the AI Coding with Cursor Course,"code_search: ""AI coding with Cursor"" (indexed desc), code_search: ""AI coding with Cursor"" (indexed asc)"
dylan-isaac/pydanticai-api-template,https://github.com/dylan-isaac/pydanticai-api-template,,"code_search: ""AI coding with Cursor"" (indexed desc), code_search: ""AI coding with Cursor"" (indexed asc)"
wanghaisheng/daily-cursor-rules,https://github.com/wanghaisheng/daily-cursor-rules,"collection best practise from web ,twitter for ai lovers","code_search: ""AI coding with Cursor"" (indexed desc), code_search: ""AI coding with Cursor"" (indexed asc)"
MT6797/packages,https://github.com/MT6797/packages,,"code_search: ""Cursor suggestion"" (indexed asc)"
FrequenciDigital/QuranExplore,https://github.com/FrequenciDigital/QuranExplore,,"code_search: ""Cursor suggestion"" (indexed asc)"
biwabits/quran_madani,https://github.com/biwabits/quran_madani,Quran Madani Dengan Dukungan Bahasa Indonesia,"code_search: ""Cursor suggestion"" (indexed asc)"
boundarydevices/android_quicksearchbox,https://github.com/boundarydevices/android_quicksearchbox,Mirror of AOSP platform/packages/apps/QuickSearchBox,"code_search: ""Cursor suggestion"" (indexed asc)"
AnasAbughazal/Quran-Android,https://github.com/AnasAbughazal/Quran-Android,Quran-Android,"code_search: ""Cursor suggestion"" (indexed asc)"
nikko11126/quran_android,https://github.com/nikko11126/quran_android,,"code_search: ""Cursor suggestion"" (indexed asc)"
X-oss-byte/Algolia-Autocomplete,https://github.com/X-oss-byte/Algolia-Autocomplete,,"code_search: ""Cursor suggestion"" (indexed asc)"
CyanogenMod/android_packages_apps_QuickSearchBox,https://github.com/CyanogenMod/android_packages_apps_QuickSearchBox,,"code_search: ""Cursor suggestion"" (indexed asc)"
iGio90/android_packages_apps_Contacts,https://github.com/iGio90/android_packages_apps_Contacts,Contacts,"code_search: ""Cursor suggestion"" (indexed asc)"
LineageOS/android_packages_apps_QuickSearchBox,https://github.com/LineageOS/android_packages_apps_QuickSearchBox,,"code_search: ""Cursor suggestion"" (indexed asc)"
cubieboard/openbox_packages_apps_QuickSearchBox,https://github.com/cubieboard/openbox_packages_apps_QuickSearchBox,packages apps QuickSearchBox,"code_search: ""Cursor suggestion"" (indexed asc)"
eclipse-hawkbit/hawkbit,https://github.com/eclipse-hawkbit/hawkbit,Eclipse hawkBit™,"code_search: ""Cursor suggestion"" (indexed desc), code_search: ""Cursor suggestion"" (indexed asc)"
vespa-engine/vespa,https://github.com/vespa-engine/vespa,"AI + Data, online. https://vespa.ai","code_search: ""Cursor suggestion"" (indexed desc), code_search: ""Cursor suggestion"" (indexed asc)"
paduc82/paduc82.github.io,https://github.com/paduc82/paduc82.github.io,,"code_search: ""Cursor suggestion"" (indexed desc), code_search: ""Cursor suggestion"" (indexed asc)"
iamlongalong/vscode-auto-cursor-accept,https://github.com/iamlongalong/vscode-auto-cursor-accept,"🚀 Supercharge your Cursor IDE experience! This extension automatically accepts AI suggestions, making your coding flow seamless and efficient. Perfect for developers who trust Cursor's AI and want to speed up their coding process.  A VS Code extension that automatically accepts and runs Cursor AI suggestions to improve your coding efficiency.","code_search: ""Cursor suggestion"" (indexed desc), code_search: ""Cursor suggestion"" (indexed asc)"
